3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,1,1,1,1,4,2,4,q1,4,2,1,1,1,1,3
3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3
3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3
3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3
3,1,1,1,3,4,2,3,4,3,4,3,3,1,1,3
3,1,3,3,3,1,2,1,1,1,2,1,1,1,1,3
3,1,3,1,1,1,2,1,1,1,2,1,1,1,1,3
3,3,3,1,1,1,2,1,1,1,2,1,1,1,1,3
3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,3
3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3
3,2,4,3,f,3,3,f,3,3,f,3,f,3,3,3
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3
3,1,2,2,2,2,2,2,2,2,1,1,2,1,1,3
3,f,f,f,f,f,f,f,f,f,f,f,f,f,f,3
